央视,#genre#

CCTV1综合,http://ott.mobaibox.com/PLTV/4/224/3221226388/index.m3u8
CCTV1综合,http://ott.mobaibox.com/PLTV/4/224/3221227005/index.m3u8
CCTV1综合,http://ott.mobaibox.com/PLTV/4/224/3221227011/index.m3u8
CCTV1综合,http://ott.mobaibox.com/PLTV/4/224/3221227023/index.m3u8
CCTV1综合,http://ott.mobaibox.com/PLTV/4/224/3221228120/index.m3u8
CCTV1综合,http://ott.mobaibox.com/PLTV/4/224/3221228601/index.m3u8
CCTV1综合,http://ott.mobaibox.com/PLTV/4/224/3221228722/index.m3u8
CCTV9记录,http://ott.mobaibox.com/PLTV/4/224/3221225868/index.m3u8
CCTV10科教,http://ott.mobaibox.com/PLTV/4/224/3221228606/index.m3u8
CCTV11戏曲,http://ott.mobaibox.com/PLTV/4/224/3221228585/index.m3u8
CCTV14少儿,http://ott.mobaibox.com/PLTV/4/224/3221227586/index.m3u8
CCTV15音乐,http://ott.mobaibox.com/PLTV/4/224/3221225817/index.m3u8
CCTV17农业农村,http://ott.mobaibox.com/PLTV/4/224/3221227639/index.m3u8
CCTV高尔夫网球,http://ott.mobaibox.com/PLTV/4/224/3221227601/index.m3u8
CETV1,http://ott.mobaibox.com/PLTV/4/224/3221227560/index.m3u8
CETV2,http://ott.mobaibox.com/PLTV/4/224/3221225850/index.m3u8
CETV2,http://ott.mobaibox.com/PLTV/4/224/3221227607/index.m3u8
CETV2,http://ott.mobaibox.com/PLTV/4/224/3221229004/index.m3u8
CETV3,http://ott.mobaibox.com/PLTV/4/224/3221227018/index.m3u8
CETV4,http://ott.mobaibox.com/PLTV/4/224/3221227028/index.m3u8
CETV4,http://ott.mobaibox.com/PLTV/4/224/3221227657/index.m3u8
CETV4,http://ott.mobaibox.com/PLTV/4/224/3221228963/index.m3u8
发现之旅,http://ott.mobaibox.com/PLTV/4/224/3221227030/index.m3u8
老故事,http://ott.mobaibox.com/PLTV/4/224/3221227043/index.m3u8
中学生,http://ott.mobaibox.com/PLTV/4/224/3221228704/index.m3u8

卫视,#genre#

江苏卫视,http://ott.mobaibox.com/PLTV/4/224/3221227031/index.m3u8
江苏卫视,http://ott.mobaibox.com/PLTV/4/224/3221227037/index.m3u8
江苏卫视,http://ott.mobaibox.com/PLTV/4/224/3221227040/index.m3u8
江苏卫视,http://ott.mobaibox.com/PLTV/4/224/3221227768/index.m3u8
江苏卫视,http://ott.mobaibox.com/PLTV/4/224/3221227870/index.m3u8
江苏卫视,http://ott.mobaibox.com/PLTV/4/224/3221228127/index.m3u8
安多卫视,http://ott.mobaibox.com/PLTV/4/224/3221226999/index.m3u8
安多卫视,http://ott.mobaibox.com/PLTV/4/224/3221227651/index.m3u8
安徽卫视,http://ott.mobaibox.com/PLTV/4/224/3221225800/index.m3u8
东南卫视,http://ott.mobaibox.com/PLTV/4/224/3221225816/index.m3u8
甘肃卫视,http://ott.mobaibox.com/PLTV/4/224/3221225846/index.m3u8
广西卫视,http://ott.mobaibox.com/PLTV/4/224/3221227609/index.m3u8
贵州卫视,http://ott.mobaibox.com/PLTV/4/224/3221225787/index.m3u8
海南卫视,http://ott.mobaibox.com/PLTV/4/224/3221225810/index.m3u8
河北卫视,http://ott.mobaibox.com/PLTV/4/224/3221225840/index.m3u8
河南卫视,http://ott.mobaibox.com/PLTV/4/224/3221225815/index.m3u8
河南卫视,http://ott.mobaibox.com/PLTV/4/224/3221227521/index.m3u8
湖北卫视,http://ott.mobaibox.com/PLTV/4/224/3221225877/index.m3u8
吉林卫视,http://ott.mobaibox.com/PLTV/4/224/3221225883/index.m3u8
江西卫视,http://ott.mobaibox.com/PLTV/4/224/3221225798/index.m3u8
辽宁卫视,http://ott.mobaibox.com/PLTV/4/224/3221225566/index.m3u8
辽宁卫视,http://ott.mobaibox.com/PLTV/4/224/3221225802/index.m3u8
农林卫视,http://ott.mobaibox.com/PLTV/4/224/3221227015/index.m3u8
农林卫视,http://ott.mobaibox.com/PLTV/4/224/3221227648/index.m3u8
康巴卫视,http://ott.mobaibox.com/PLTV/4/224/3221227008/index.m3u8
康巴卫视,http://ott.mobaibox.com/PLTV/4/224/3221227645/index.m3u8
内蒙古卫视,http://ott.mobaibox.com/PLTV/4/224/3221227557/index.m3u8
宁夏卫视,http://ott.mobaibox.com/PLTV/4/224/3221227563/index.m3u8
厦门卫视,http://ott.mobaibox.com/PLTV/4/224/3221227604/index.m3u8
山西卫视,http://ott.mobaibox.com/PLTV/4/224/3221227559/index.m3u8
山西卫视,http://ott.mobaibox.com/PLTV/4/224/3221228949/index.m3u8
陕西卫视,http://ott.mobaibox.com/PLTV/4/224/3221227583/index.m3u8
四川卫视,http://ott.mobaibox.com/PLTV/4/224/3221225814/index.m3u8
天津卫视,http://ott.mobaibox.com/PLTV/4/224/3221225808/index.m3u8
天津卫视,http://ott.mobaibox.com/PLTV/4/224/3221228948/index.m3u8
西藏卫视,http://ott.mobaibox.com/PLTV/4/224/3221227562/index.m3u8
新疆卫视,http://ott.mobaibox.com/PLTV/4/224/3221227627/index.m3u8
延边卫视,http://ott.mobaibox.com/PLTV/4/224/3221227002/index.m3u8
延边卫视,http://ott.mobaibox.com/PLTV/4/224/3221227590/index.m3u8
云南卫视,http://ott.mobaibox.com/PLTV/4/224/3221225838/index.m3u8
重庆卫视,http://ott.mobaibox.com/PLTV/4/224/3221225812/index.m3u8
兵团卫视,http://ott.mobaibox.com/PLTV/4/224/3221227654/index.m3u8

江苏地方,#genre#

江苏影视,http://ott.mobaibox.com/PLTV/4/224/3221225937/index.m3u8
江苏影视,http://ott.mobaibox.com/PLTV/4/224/3221229037/index.m3u8
江苏教育,http://ott.mobaibox.com/PLTV/4/224/3221225923/index.m3u8
江苏有线,http://ott.mobaibox.com/PLTV/4/224/3221227017/index.m3u8

无锡-宜兴生活,http://ott.mobaibox.com/PLTV/4/224/3221229018/index.m3u8
无锡-宜兴影视,http://ott.mobaibox.com/PLTV/4/224/3221229050/index.m3u8
无锡-宜兴紫砂,http://ott.mobaibox.com/PLTV/4/224/3221229021/index.m3u8

徐州-徐州1,http://ott.mobaibox.com/PLTV/4/224/3221229049/index.m3u8
徐州-徐州2,http://ott.mobaibox.com/PLTV/4/224/3221228993/index.m3u8
徐州-徐州3,http://ott.mobaibox.com/PLTV/4/224/3221228996/index.m3u8
徐州-贾汪新闻,http://ott.mobaibox.com/PLTV/4/224/3221227385/index.m3u8
徐州-贾汪新闻,http://ott.mobaibox.com/PLTV/4/224/3221229017/index.m3u8
徐州-贾汪旅游,http://ott.mobaibox.com/PLTV/4/224/3221227389/index.m3u8
徐州-睢宁三农,http://ott.mobaibox.com/PLTV/4/224/3221229006/index.m3u8
徐州-美丽睢宁,http://ott.mobaibox.com/PLTV/4/224/3221229082/index.m3u8
徐州-铜山2,http://ott.mobaibox.com/PLTV/4/224/3221228982/index.m3u8
徐州-铜山3,http://ott.mobaibox.com/PLTV/4/224/3221229052/index.m3u8
徐州-铜山4,http://ott.mobaibox.com/PLTV/4/224/3221228985/index.m3u8
徐州-新沂1,http://ott.mobaibox.com/PLTV/4/224/3221229076/index.m3u8
徐州-新沂2,http://ott.mobaibox.com/PLTV/4/224/3221227311/index.m3u8

盐城-盐城2,http://ott.mobaibox.com/PLTV/4/224/3221229026/index.m3u8

扬州-扬州新闻,http://ott.mobaibox.com/PLTV/4/224/3221228155/index.m3u8
扬州-扬州民生,http://ott.mobaibox.com/PLTV/4/224/3221228205/index.m3u8
扬州-扬州邢江,http://ott.mobaibox.com/PLTV/4/224/3221227867/index.m3u8

镇江-镇江2,http://ott.mobaibox.com/PLTV/4/224/3221228988/index.m3u8

宿迁-泗洪综合,http://ott.mobaibox.com/PLTV/4/224/3221228521/index.m3u8
宿迁-泗洪综合,http://ott.mobaibox.com/PLTV/4/224/3221228994/index.m3u8

未知-??电视剧,http://ott.mobaibox.com/PLTV/4/224/3221228913/index.m3u8
