
cntv,#genre#

CCTV1,http://223.110.241.139:6610/cntv/live1/H265-8000k-1080P-cctv1/H265-8000k-1080P-cctv1
CCTV2,http://223.110.241.139:6610/cntv/live1/H265-8000k-1080P-cctv2/H265-8000k-1080P-cctv2
CCTV3,http://223.110.241.139:6610/cntv/live1/H265-8000k-1080P-cctv3/H265-8000k-1080P-cctv3
CCTV4,http://223.110.241.139:6610/cntv/live1/H265-8000k-1080P-cctv4/H265-8000k-1080P-cctv4
CCTV5,http://223.110.241.139:6610/cntv/live1/H265-8000k-1080P-cctv5/H265-8000k-1080P-cctv5
CCTV6,http://223.110.241.139:6610/cntv/live1/H265-8000k-1080P-cctv6/H265-8000k-1080P-cctv6
CCTV8,http://223.110.241.139:6610/cntv/live1/H265-8000k-1080P-cctv8/H265-8000k-1080P-cctv8
CCTV13,http://223.110.241.139:6610/cntv/live1/H265-8000k-1080P-cctv13/H265-8000k-1080P-cctv13
CCTV16,http://223.110.241.139:6610/cntv/live1/HD-8000k-1080P-cctv16/HD-8000k-1080P-cctv16
广东卫视,http://223.110.241.139:6610/cntv/live1/HD-2500k-1080P-guangdongstv/HD-2500k-1080P-guangdongstv
天津卫视,http://223.110.241.139:6610/cntv/live1/HD-2500k-1080P-tianjinstv/HD-2500k-1080P-tianjinstv
深圳卫视,http://223.110.241.139:6610/cntv/live1/HD-2500k-1080P-shenzhenstv/HD-2500k-1080P-shenzhenstv
辽宁卫视,http://223.110.241.139:6610/cntv/live1/liaoningstv/liaoningstv
湖北卫视,http://223.110.241.139:6610/cntv/live1/HD-2500k-1080P-hubeistv/HD-2500k-1080P-hubeistv
黑龙江卫视,http://223.110.241.139:6610/cntv/live1/HD-8000k-1080P-heilongjiangstv/HD-2500k-1080P-heilongjiangstv
动作电影,http://223.110.241.139:6610/cntv/live1/n-dongzuody/n-dongzuody
军旅剧场,http://223.110.241.139:6610/cntv/live1/n-junlvjc/n-junlvjc
家庭剧场,http://223.110.241.139:6610/cntv/live1/n-jiatingjc/n-jiatingjc
热播精选,http://223.110.241.139:6610/cntv/live1/n-xiqumd/n-xiqumd
炫舞未来,http://223.110.241.139:6610/cntv/live1/HD-4000k-1080P-xwwl/HD-4000k-1080P-xwwl
黑莓电影,http://223.110.241.139:6610/cntv/live1/HD-8000k-1080P-Supermovie/HD-8000k-1080P-Supermovie
爱情喜剧,http://223.110.241.139:6610/cntv/live1/n-aiqingxj/n-aiqingxj
精品大剧,http://223.110.241.139:6610/cntv/live1/n-jdaju/n-jdaju
中国功夫,http://223.110.241.139:6610/cntv/live1/n-gzkongfu/n-gzkongfu
金牌综艺,http://223.110.241.139:6610/cntv/live1/n-saishijx/n-saishijx
军事评论,http://223.110.241.139:6610/cntv/live1/n-junshipl/n-junshipl
农业致富,http://223.110.241.139:6610/cntv/live1/n-nongyezf/n-nongyezf
哒啵赛事,http://223.110.241.139:6610/cntv/live1/wmyx/wmyx
怡伴健康,http://223.110.241.139:6610/cntv/live1/n-ljiankangyouyue/n-ljiankangyouyue
精品体育,http://223.110.241.139:6610/cntv/live1/n-jtiyu/n-jtiyu
潮妈辣婆,http://223.110.241.139:6610/cntv/live1/n-cmlapo/n-cmlapo
黑莓动画,http://223.110.241.139:6610/cntv/live1/donghuawg/donghuawg
睛彩篮球,http://223.110.241.139:6610/cntv/live1/HD-8000k-1080P-miguaoyun1/HD-8000k-1080P-miguaoyun1
睛彩竞技,http://223.110.241.139:6610/cntv/live1/HD-8000k-1080P-miguaoyun2/HD-8000k-1080P-miguaoyun2

CCTV1,http://183.207.248.71/cntv/live1/CCTV-1/cctv-1
CCTV2,http://183.207.248.71/cntv/live1/CCTV-2/cctv-2
CCTV3,http://183.207.248.71/cntv/live1/CCTV-3/cctv-3
CCTV4,http://183.207.248.71/cntv/live1/CCTV-4/cctv-4
CCTV5,http://183.207.248.71/cntv/live1/CCTV-5/cctv-5
CCTV5+,http://183.207.248.71/cntv/live1/CCTV5+/hdcctv05plus
CCTV6,http://183.207.248.71/cntv/live1/CCTV-6/cctv-6
CCTV7,http://183.207.248.71/cntv/live1/CCTV-7/cctv-7
CCTV9,http://183.207.248.71/cntv/live1/CCTV-9/cctv-news
CCTV10,http://183.207.248.71/cntv/live1/CCTV-10/cctv-10
CCTV12,http://183.207.248.71/cntv/live1/CCTV-12/cctv-12
CCTV13,http://183.207.248.71/cntv/live1/CCTV-13/cctv-13
CCTV14,http://183.207.248.71/cntv/live1/CCTV-14/cctv-14
安徽卫视,http://183.207.248.71/cntv/live1/安徽卫视/anhuistv
黑龙江卫视,http://183.207.248.71/cntv/live1/黑龙江卫视/HD-2500k-1080P-heilongjiangstv
江西卫视,http://183.207.248.71/cntv/live1/江西卫视/jiangxistv
NewTV炫舞未来,http://183.207.248.71/cntv/live1/炫舞未来/HD-4000k-1080P-xwwl
哒啵赛事,http://183.207.248.71/cntv/live1/NewTV电竞/wmyx
黑莓电影,http://183.207.248.71/cntv/live1/精品电影/jdianying
黑莓动画,http://183.207.248.71/cntv/live1/动画王国/donghuawg
北京纪实,http://183.207.248.71/cntv/live1/北京纪实频道超/HD-8000k-1080P-beijingjishi
风尚购物,http://183.207.248.71/cntv/live1/风尚购物/fengshanggw
家有购物,http://183.207.248.71/cntv/live1/家有购物/SD-1500k-576P-jiayougw

CCTV7,http://223.110.242.217:6610/cntv/live1/H265-12000k-1080P-cctv7/H265-12000k-1080P-cctv7/1.m3u8

广西卫视,http://223.110.254.137:6610/cntv/live1/HD-8000k-1080P-guangxistv/HD-8000k-1080P-guangxistv
海南卫视,http://223.110.254.137:6610/cntv/live1/HD-8000k-1080P-lvyoustv/HD-8000k-1080P-lvyoustv

安徽卫视,http://223.110.254.203:6610/cntv/live1/HD-8000k-1080P-anhuistv/HD-8000k-1080P-anhuistv/
