
gitv,#genre#

CCTV1,http://223.110.241.139:6610/gitv/live1/G_CCTV-1-HQ/G_CCTV-1-HQ/
CCTV2,http://223.110.241.139:6610/gitv/live1/G_CCTV-2-HD/G_CCTV-2-HD/
CCTV3,http://223.110.241.139:6610/gitv/live1/G_CCTV-3-HQ/G_CCTV-3-HQ/
CCTV3-4K,http://223.110.255.157:6610/gitv/live1/G_CCTV-3-AVS-4K264/G_CCTV-3-AVS-4K264/1.m3u8
CCTV4,http://223.110.241.139:6610/gitv/live1/G_CCTV-4-HQ/G_CCTV-4-HQ/
CCTV5,http://223.110.241.139:6610/gitv/live1/G_CCTV-5-HQ/G_CCTV-5-HQ/
CCTV5-4K,http://223.110.255.206:6610/gitv/live1/G_CCTV-5-AVS-4K264/G_CCTV-5-AVS-4K264/1.m3u8
CCTV5+,http://223.110.241.139:6610/gitv/live1/G_CCTV-5PLUS-HQ/G_CCTV-5PLUS-HQ/
CCTV6,http://223.110.241.139:6610/gitv/live1/G_CCTV-6-HQ/G_CCTV-6-HQ/
CCTV7,http://223.110.241.139:6610/gitv/live1/G_CCTV-7-HQ/G_CCTV-7-HQ/
CCTV8,http://223.110.241.139:6610/gitv/live1/G_CCTV-8-HQ/G_CCTV-8-HQ/
CCTV9,http://223.110.241.139:6610/gitv/live1/G_CCTV-9-HQ/G_CCTV-9-HQ/
CCTV10,http://223.110.241.139:6610/gitv/live1/G_CCTV-10-HQ/G_CCTV-10-HQ/
CCTV11,http://223.110.241.139:6610/gitv/live1/G_CCTV-11-HQ/G_CCTV-11-HQ/
CCTV12,http://223.110.241.139:6610/gitv/live1/G_CCTV-12-HQ/G_CCTV-12-HQ/
CCTV13,http://223.110.241.139:6610/gitv/live1/G_CCTV-13-HQ/G_CCTV-13-HQ/
CCTV14,http://223.110.241.139:6610/gitv/live1/G_CCTV-14-HQ/G_CCTV-14-HQ/
CCTV15,http://223.110.241.139:6610/gitv/live1/G_CCTV-15-HQ/G_CCTV-15-HQ/
