
jsyd,#genre#

CCTV1,http://223.110.255.208:6610/jsyd/live1/G_CCTV-1-MD/G_CCTV-1-MD/1.m3u8
CCTV2,http://223.110.255.209:6610/jsyd/live1/G_CCTV-2-MD/G_CCTV-2-MD/1.m3u8
CCTV4,http://223.110.255.146:6610/jsyd/live1/G_CCTV-4-MD/G_CCTV-4-MD/1.m3u8
CCTV5+,http://223.110.255.205:6610/jsyd/live1/G_CCTV-5PLUS-MD/G_CCTV-5PLUS-MD/1.m3u8
CCTV6,http://223.110.255.198:6610/jsyd/live1/G_CCTV-6-MD/G_CCTV-6-MD/1.m3u8
CCTV6,http://223.110.242.207:6610/jsyd/live1/G_CCTV-6-MD/G_CCTV-6-MD/1.m3u8
江苏卫视,http://223.110.255.157:6610/jsyd/live1/G_JIANGSU-MD/G_JIANGSU-MD/1.m3u8
湖南卫视,http://223.110.255.203:6610/jsyd/live1/G_HUNAN-MD/G_HUNAN-MD/1.m3u8
浙江卫视,http://223.110.255.143:6610/jsyd/live1/G_ZHEJIANG-MD/G_ZHEJIANG-MD/1.m3u8
安徽卫视,http://223.110.255.155:6610/jsyd/live1/G_ANHUI-MD/G_ANHUI-MD/1.m3u8
北京卫视,http://223.110.255.208:6610/jsyd/live1/G_BEIJING-MD/G_BEIJING-MD/1.m3u8
东方卫视,http://223.110.255.199:6610/jsyd/live1/G_DONGFANG-MD/G_DONGFANG-MD/1.m3u8
广东卫视,http://223.110.255.204:6610/jsyd/live1/G_GUANGDONG-MD/G_GUANGDONG-MD/1.m3u8
黑龙江卫视,http://223.110.255.152:6610/jsyd/live1/G_HEILONGJIANG-MD/G_HEILONGJIANG-MD/1.m3u8
湖北卫视,http://223.110.255.160:6610/jsyd/live1/G_HUBEI-MD/G_HUBEI-MD/1.m3u8
辽宁卫视,http://223.110.255.206:6610/jsyd/live1/G_LIAONING-MD/G_LIAONING-MD/1.m3u8
山东卫视,http://223.110.255.131:6610/jsyd/live1/G_SHANDONG-MD/G_SHANDONG-MD/1.m3u8
深圳卫视,http://223.110.255.156:6610/jsyd/live1/G_SHENZHEN-MD/G_SHENZHEN-MD/1.m3u8
天津卫视,http://223.110.255.146:6610/jsyd/live1/G_TIANJIN-MD/G_TIANJIN-MD/1.m3u8
